Driver,Nation,Team,Affiliation,Affiliation Type,Driver Number,Normal Name,,,,,!Cornering,!Braking,!Reactions,!Accuracy,!Control,!Smoothness,!Adaptability,!Overtaking,!Defending
,,N/A,N/A,N/A,,,,,,Weights,20%,18%,11%,15%,14%,5%,2%,8%,7%
,,N/A,N/A,N/A,,,,,,,,,,,,,,,
Randy Belacik,SVK,Red Bull,N/A,N/A,11,Verstappen,,,,,,,,,,,,,
Emir Cardemir,NED,Red Bull,N/A,N/A,31,Lawson,,,,,,,,,,,,,
Riley Swansson,AUS,Mercedes,N/A,N/A,3,,,,,,,,,,,,,,
Petr Dostál,CZE,Mercedes,N/A,N/A,68,,,,,,,,,,,,,,
Jason Roy,GBR,Ferrari,N/A,N/A,19,,,,,,,,,,,,,,
Afonso Cachinho,POR,Ferrari,N/A,N/A,16,,,,,,,,,,,,,,
Colin Norris,BEL,McLaren,N/A,N/A,2,,,,,,,,,,,,,,
George McLaren,GRE,McLaren,N/A,N/A,18,,,,,,,,,,,,,,
Jacob Vavro,SVK,Aston Martin,N/A,N/A,48,,,,,,,,,,,,,,
Gunner Tai,GBR,Aston Martin,N/A,N/A,14,,,,,,,,,,,,,,
Michiii MaraDöner,GRE,Alpine,N/A,N/A,15,,,,,,,,,,,,,,
Reinier Ekitike,FRA,Alpine,N/A,N/A,22,,,,,,,,,,,,,,
James Atara,GBR,Williams,N/A,N/A,37,,,,,,,,,,,,,,
Maikel Zwart,NED,Williams,N/A,N/A,13,,,,,,,,,,,,,,
Frederik Frid,DEN,Racing Bulls,N/A,N/A,21,,,,,,,,,,,,,,
Haruka Asahina,JPN,Racing Bulls,N/A,N/A,80,,,,,,,,,,,,,,
Jimme Janssen,GER,Sauber,N/A,N/A,72,,,,,,,,,,,,,,
Guy Mcspeederson,GBR,Sauber,N/A,N/A,25,,,,,,,,,,,,,,
Lily Wiśniewska,POL,Haas,N/A,N/A,55,,,,,,,,,,,,,,
Diana Kita,POL,Haas,N/A,N/A,66,,,,,,,,,,,,,,
,,N/A,N/A,N/A,,,,,,,,,,,,,,,
,,N/A,N/A,N/A,,,,,,,,,,,,,,,
Yosef Marks,ESP,F2 MP,N/A,N/A,31,,,,,,,,,,,,,,
Theodore Winters,USA,F2 ART,N/A,N/A,33,,,,,,,,,,,,,,
Jack TEF,GBR,F2 VAR,N/A,N/A,94,,,,,,,,,,,,,,
Stefano Shankar,ITA,F2 DAMS,N/A,N/A,55,,,,,,,,,,,,,,
Daniel Park,USA,F2 Campos,N/A,N/A,88,,,,,,,,,,,,,,
Theo Amaro,CAN,F2 Rodin,N/A,N/A,83,,,,,,,,,,,,,,
Orinoco Rios,VEN,F2 VAR,N/A,N/A,12,,,,,,,,,,,,,,
James Michaels,GBR,F2 Trident,N/A,N/A,71,,,,,,,,,,,,,,
Dan Ellis,USA,F2 Hitech,N/A,N/A,36,,,,,,,,,,,,,,
Kaj ten Voorde,NED,F2 DAMS,N/A,N/A,10,,,,,,,,,,,,,,
Gideon Lettink,NED,F2 MP,N/A,N/A,97,,,,,,,,,,,,,,
Owethu Dlamini,RSA,F2 Campos,N/A,N/A,77,,,,,,,,,,,,,,
Chenglin Yang,CHN,F2 Rodin,N/A,N/A,72,,,,,,,,,,,,,,
Fabian Stahl,GER,F2 ART,N/A,N/A,21,,,,,,,,,,,,,,
Jordan Hunter,USA,F2 Prema,N/A,N/A,99,,,,,,,,,,,,,,
Kanata Rivington,JPN,F2 Trident,N/A,N/A,86,,,,,,,,,,,,,,
Reino Kärkkäinen,FIN,F2 Invicta,N/A,N/A,15,,,,,,,,,,,,,,
Lucas Meers,AUS,F2 Invicta,N/A,N/A,23,,,,,,,,,,,,,,
Julio Jimenez,MEX,F2 Hitech,N/A,N/A,9,,,,,,,,,,,,,,
Aboba Abobovich,BUL,F2 Prema,N/A,N/A,18,,,,,,,,,,,,,,
,,,N/A,N/A,,,,,,,,,,,,,,,
Alex Thompson,GBR,XGT IDEC Sport,N/A,N/A,,,,,,,,,,,,,,,
Rikun Ryujin,JPN,XGT B-Max,N/A,N/A,69,,,,,,,,,,,,,,
Ricky Johnson,USA,XGT Andretti,N/A,N/A,38,,,,,,,,,,,,,,
Robin Sato,JPN,XGT Haas,N/A,N/A,62,,,,,,,,,,,,,,
Jake Tildesley,GBR,XGT B-Max,N/A,N/A,5,,,,,,,,,,,,,,
,,,,,95,,,,,,,,,,,,,,
