Team,Team Name,2024 Identity
Red Bull,Red Bull Racing,Oracle Red Bull Racing
Mercedes,Mercedes-AMG,Mercedes-AMG Petronas F1 Team
Ferrari,Scuderia Ferrari,Scuderia Ferrari HP
McLaren,McLaren,McLaren Formula 1 Team
Aston Martin,Aston Martin,Aston Martin Aramco Formula One Team
Alpine,Alpine F1,BWT Alpine F1 Team
Williams,Williams Racing,Williams Racing
Racing Bulls,Racing Bulls,Visa Cash App RB Formula One Team
Sauber,Sauber Motorsport,Stake F1 Team Kick Sauber
Haas,Haas F1 Team,MoneyGram Haas F1 Team
F2 ART,ART Grand Prix,
F2 Prema,Prema Racing,
F2 Rodin,Rodin Carlin,
F2 DAMS,DAMS Lucas Oil,
F2 Invicta,Invicta Racing,
F2 MP,MP Motorsport,
F2 VAR,Van Amersfoort Racing,
F2 Hitech,Hitech Pulse-Eight,
F2 Campos,Campos Racing,
F2 Trident,Trident,
GT Red Bull,,
GT Honda,,
 GT AMG,,
GT Kunlun,,
GT HWA,,
GT Schuberth,,
GT Walkenhorst,,
GT Scheaffler,,
GT SARD,,
GT TOMS,,
