Team,Color 1,Color 2,TeamID,Team Name,Series,Car
Red Bull,#3671C6,#E00008,3,Red Bull,F1,
Mercedes,#27F4D2,#A3A3A3,4,Mercedes,F1,
Ferrari,#E80020,#FFF200,1,Ferrari,F1,
McLaren,#FF8000,#333333,2,McLaren,F1,
Aston Martin,#229971,#CCF738,10,Aston Martin,F1,
Alpine,#0093CC,#FF87BC,5,Alpine,F1,
Williams,#64C4FF,#0D66D9,6,Williams,F1,
Racing Bulls,#6692FF,#ffffff,8,Racing Bulls,F1,
Sauber,#52E254,#333333,9,Sauber,F1,
Haas,#B6BABD,#E8002D,7,Haas,F1,
F2 ART,#CCD2D5,#C92D00,15,ART,F2,
F2 Prema,#F00001,#ffffff,11,Prema,F2,
F2 Rodin,#C9A64C,#333333,13,Rodin,F2,
F2 DAMS,#0CC2F5,#ffffff,18,DAMS,F2,
F2 Invicta,#FFFE02,#333333,12,Invicta,F2,
F2 MP,#FF9140,#333333,16,MP,F2,
F2 VAR,#F25808,#333333,20,VAR,F2,
F2 Hitech,#A0B4C9,#ffffff,14,Hitech,F2,
F2 Campos,#6E6E6E,#CC8B30,19,Campos,F2,
F2 Trident,#7800FF,#ffffff,21,Trident,F2,
GT Red Bull,,,,Red Bull,GT1,Audi
GT Honda,,,,ATRA Honda,GT1,Honda
 GT AMG,,,,AMG,GT1,Mercedes
GT Kunlun,,,,Kunlun,GT1,Honda
GT HWA,,,,HWA,GT1,Mercedes
GT Schuberth,,,,Schuberth,GT1,BMW
GT Walkenhorst,,,,Walkenhorst,GT1,BMW
GT Scheaffler,,,,Scheaffler,GT1,Audi
GT SARD,,,,SARD,GT1,Toyota
GT TOMS,,,,TOM'S,GT1,Toyota
